country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Timor-Leste,25.6,26.8,28,29.2,30.1,30.6,30.5,30.4,30,29.6,29.3,29.8,31.3,33,33,32.2,32.1,32.7,33.9,35.2,36.9,37.6,38.6,39.8,41.4,43.4,44.6
Togo,139,144,148,153,159,162,165,174,180,180,186,189,195,204,204,213,217,231,241,251,262,277,292,306,320,334,348
Tonga,11.7,12.2,12.6,12.9,13.2,13.6,13.7,13.7,13.9,14.3,14.6,14.6,14.6,14.7,14.7,14.9,14.9,15.1,15.2,15.4,15.7,16.1,16.4,16.7,17.1,17.4,17.7
Trinidad and Tobago,109,110,114,120,124,127,130,131,132,134,138,140,146,146,150,152,152,154,156,159,164,165,167,169,172,175,178
Tunisia,473,493,517,545,567,591,607,624,642,664,685,705,725,745,764,784,800,818,837,857,877,897,918,942,968,994,1010
Turkey,2320,2490,2550,2710,2800,2950,3000,3080,3160,3520,3300,3270,3310,3700,3580,3680,3620,3390,3230,3560,3660,3740,3750,3960,4010,4080,4150
Turkmenistan,107,110,117,123,131,137,141,142,145,150,150,153,156,160,166,174,182,190,198,209,223,235,245,254,259,254,253
Uganda,897,956,984,1020,1060,1100,1090,1100,1120,1140,1190,1220,1240,1290,1350,1400,1460,1500,1520,1550,1610,1650,1730,1830,1900,1970,2040
Ukraine,7620,8110,8510,9010,9370,9890,9660,9260,8750,9030,9130,8930,8920,8890,8880,8910,8450,8630,8650,7970,7630,7310,7480,7470,7060,7130,7280
United Arab Emirates,37.6,39.6,42,44.8,47.9,51.2,54.7,57.3,60.1,63.2,65.8,69.8,74.1,77.9,83.4,92.1,99,112,126,141,156,174,191,207,224,241,257
United Kingdom,15700,15800,15700,15700,15500,15400,15200,15000,14800,14700,14400,14400,14300,14100,13800,13600,13400,13200,13100,12900,12900,12900,13100,13200,13300,13300,13400
United States,43500,43800,44000,44600,44900,45100,44700,44100,43900,43800,43800,43900,43900,43800,43500,43200,42900,42800,43100,43500,43900,44400,44900,45600,46400,47700,48800
Uruguay,653,681,672,670,667,676,686,699,715,715,709,704,710,714,722,730,732,725,712,712,717,718,718,723,717,718,719
Uzbekistan,647,677,721,772,816,856,891,925,958,1020,1060,1100,1140,1190,1230,1260,1320,1350,1390,1430,1470,1510,1560,1620,1650,1670,1680
Vanuatu,6.68,7.06,7.42,7.8,8.14,8.44,8.71,9.01,9.39,9.83,10.2,10.7,11.3,11.9,12.5,13.2,13.9,14.6,15.3,16.1,16.9,17.6,18.4,19.4,20.4,21.4,22.2
Venezuela,728,787,858,871,940,969,1020,1050,1070,1120,1140,1190,1330,1380,1380,1440,1500,1550,1640,1720,1780,1870,1950,2030,2080,2150,2220
Vietnam,2790,2870,2960,3050,3140,3220,3290,3380,3470,3570,3660,3770,3860,3950,4040,4130,4220,4300,4370,4470,4570,4650,4740,4840,4950,5080,5190
Yemen,415,436,461,491,523,556,582,608,632,660,689,719,750,786,825,860,884,900,914,929,948,975,1020,1080,1150,1220,1290
Zambia,242,265,289,309,339,368,391,409,426,434,435,436,433,439,428,426,429,428,430,434,439,445,450,457,463,475,492
Zimbabwe,519,521,487,464,443,437,443,445,479,521,562,618,685,727,793,772,768,753,761,781,770,762,764,770,819,841,870
