country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Comoros,18.2,18.8,19.4,20,20.8,21.5,22.1,22.7,23,23,23.3,23.3,23.3,23.6,23.6,24,24.7,25.1,26.4,27.1,28.5,29.9,31.4,32.7,34.1,35.6,36.9
"Congo, Dem. Rep.",1340,1390,1430,1460,1510,1580,1720,1610,1660,1670,1710,1820,1850,1940,1960,1980,2050,2130,2210,2270,2320,2400,2490,2550,2620,2710,2790
"Congo, Rep.",167,166,165,171,189,200,214,221,219,226,226,220,217,227,236,247,254,262,270,272,279,283,289,297,305,316,325
Costa Rica,148,151,160,168,177,184,192,197,204,211,217,226,236,244,250,258,269,276,286,296,307,316,328,346,357,366,375
Cote d'Ivoire,571,597,622,678,717,773,809,834,868,904,934,965,968,986,982,1010,1030,1040,1060,1070,1110,1160,1200,1240,1270,1310,1340
Croatia,784,808,824,834,842,843,850,873,891,909,908,904,893,900,907,922,925,934,937,941,958,958,970,977,984,977,981
Cuba,895,940,975,999,1020,1030,1050,1060,1070,1090,1110,1130,1160,1200,1240,1280,1310,1340,1350,1380,1410,1430,1470,1480,1510,1530,1560
Cyprus,88.6,88.8,89.7,89.2,94.3,95.7,93.3,95,95.2,97.8,101,102,107,112,115,119,120,120,126,128,131,133,130,131,139,142,144
Czech Republic,1640,1670,1690,1730,1770,1790,1790,1780,1790,1820,1830,1850,1880,1890,1890,1870,1850,1820,1780,1780,1780,1750,1730,1700,1660,1640,1650
Denmark,1470,1490,1520,1530,1520,1530,1530,1520,1510,1510,1480,1480,1490,1460,1450,1440,1430,1420,1410,1420,1400,1380,1350,1340,1320,1320,1320
Djibouti,14.9,15.7,16.4,17.1,17.9,18.7,19.6,20.4,21.1,21.6,22.1,22.6,23.3,24.2,25.2,26.2,27.2,28.6,29.9,31.1,32.3,33.5,34.9,36.3,37.8,39.3,40.4
Dominica,6.43,6.67,6.79,6.97,7.15,7.37,7.43,7.5,7.4,7.38,7.31,7.4,7.55,7.72,7.66,7.76,7.99,8.15,8.31,8.6,8.95,9.31,9.6,9.92,10.1,10.2,10.6
Dominican Republic,199,210,222,239,253,266,280,289,296,304,310,317,325,335,346,365,382,393,409,426,442,459,476,493,511,531,550
Ecuador,271,280,290,305,321,342,364,374,392,402,418,429,442,463,469,482,502,512,531,551,571,581,604,618,628,634,644
Egypt,1580,1640,1680,1770,1860,1900,2010,2120,2180,2240,2270,2420,2510,2600,2670,2760,2830,2850,2930,3020,3090,3030,3130,3060,3130,3190,3230
El Salvador,147,154,163,170,177,180,187,193,195,200,203,209,219,229,238,244,253,262,269,275,284,289,300,312,319,325,331
Equatorial Guinea,23.3,23.8,24.1,25.1,26,26.9,28.6,28.3,28.8,29.5,30.1,30,29.7,30.6,31.1,32.3,34.3,35.3,36.2,37.6,38,37.8,38,38.5,40,41.4,43
Eritrea,138,138,135,132,132,132,133,136,139,142,147,152,159,165,171,178,183,188,194,199,206,213,221,230,240,250,260
Estonia,209,226,220,239,259,249,235,234,249,243,253,261,251,247,238,241,239,236,231,226,211,220,220,221,219,216,215
Ethiopia,2080,2120,2180,2270,2380,2490,2530,2590,2630,2700,2750,2740,2760,2780,2830,2920,2990,3050,3080,3150,3300,3410,3500,3590,3760,3920,4050
Fiji,55.9,58.2,60.4,62.3,64.2,66.3,68.8,71.1,72,74.8,75.1,75.9,77.3,80.7,83.8,87.8,89.9,93.5,96.8,100,104,108,112,116,121,125,129
Finland,771,786,806,820,820,836,853,865,873,889,890,892,886,895,899,901,909,909,914,927,942,947,950,938,912,903,882
France,11300,11600,11800,12000,12100,12300,12400,12300,12400,12500,12600,12600,12700,12800,12700,12600,12600,12700,12800,12800,12800,12900,13000,13000,12900,13000,13000
Gabon,77,78.4,79.1,81.2,86.7,90,96.4,99.5,104,110,114,120,120,125,129,127,130,126,129,129,125,128,128,126,128,130,131
Gambia,16.5,17.4,18.2,19.2,20.4,21.8,23.2,24.8,25.6,26.1,26,26.4,27.6,27.2,28,28.8,29.9,31.3,32.4,34.3,35.4,36.7,38.8,40.7,42.7,44.9,46.7
Georgia,734,730,737,713,675,622,596,597,603,602,595,585,598,621,627,551,500,488,525,566,576,585,607,591,601,574,559
Germany,18000,18200,18300,18500,18800,18900,19000,18800,18500,18400,18300,18200,18300,18200,18200,18300,18400,18400,18600,18700,18600,18600,18500,18500,18300,18300,18400
